,0
0,17.0
1,123.0
2,80.0
3,22.0
4,135.0
5,26.0
6,118.0
7,45.0
8,98.0
9,35.0
10,114.0
11,1.0
12,39.0
13,48.0
14,76.0
15,4.0
16,45.0
17,11.0
18,46.0
19,20.0
20,62.0
21,56.0
22,14.0
23,54.0
24,26.0
25,147.0
26,45.0
27,63.0
28,107.0
29,92.0
30,93.0
31,16.0
32,67.0
33,148.0
34,513.0
35,298.0
36,46.0
37,117.0
38,83.0
39,22.0
40,6.0
41,4.0
42,26.0
43,57.0
44,1.0
45,14.0
46,37.0
47,32.0
48,191.0
49,181.0
50,99.0
51,109.0
52,124.0
53,9.0
54,164.0
55,70.0
56,80.0
57,410.0
58,173.0
59,114.0
60,3.0
61,85.0
62,2.0
63,46.0
64,104.0
65,51.0
66,24.0
67,17.0
68,77.0
69,164.0
70,107.0
71,19.0
72,107.0
73,2.0
74,2.0
75,78.0
76,156.0
77,4.0
78,123.0
79,13.0
80,126.0
81,168.0
82,22.0
83,53.0
84,129.0
85,184.0
86,49.0
87,45.0
88,103.0
89,199.0
90,29.0
91,100.0
92,122.0
93,34.0
94,105.0
95,8.0
96,281.0
97,204.0
98,7.0
99,39.0
