,0
0,565.0
1,125.0
2,214.0
3,917.0
4,128.0
5,88.0
6,88.0
7,199.0
8,42.0
9,191.0
10,63.0
11,223.0
12,117.0
13,812.0
14,43.0
15,942.0
16,14.0
17,557.0
18,6.0
19,117.0
20,412.0
21,753.0
22,45.0
23,252.0
24,70.0
25,331.0
26,198.0
27,52.0
28,289.0
29,242.0
30,150.0
31,245.0
32,355.0
33,551.0
34,484.0
35,869.0
36,370.0
37,110.0
38,78.0
39,149.0
40,92.0
41,55.0
42,500.0
43,315.0
44,129.0
45,515.0
46,1077.0
47,356.0
48,241.0
49,246.0
50,1093.0
51,30.0
52,251.0
53,161.0
54,193.0
55,9.0
56,784.0
57,950.0
58,78.0
59,516.0
60,63.0
61,755.0
62,68.0
63,206.0
64,272.0
65,47.0
66,1178.0
67,217.0
68,205.0
69,692.0
70,34.0
71,380.0
72,846.0
73,1269.0
74,128.0
75,56.0
76,172.0
77,178.0
78,106.0
79,115.0
80,164.0
81,59.0
82,15.0
83,140.0
84,140.0
85,821.0
86,972.0
87,90.0
88,353.0
89,16.0
90,321.0
91,383.0
92,29.0
93,374.0
94,12.0
95,330.0
96,81.0
97,127.0
98,1484.0
99,599.0
