,0
0,326.0
1,284.0
2,303.0
3,849.0
4,623.0
5,273.0
6,522.0
7,179.0
8,221.0
9,566.0
10,452.0
11,148.0
12,102.0
13,58.0
14,125.0
15,60.0
16,292.0
17,462.0
18,753.0
19,320.0
20,145.0
21,449.0
22,489.0
23,454.0
24,120.0
25,1685.0
26,26.0
27,146.0
28,130.0
29,128.0
30,872.0
31,372.0
32,510.0
33,83.0
34,722.0
35,6.0
36,365.0
37,231.0
38,591.0
39,127.0
40,365.0
41,86.0
42,1054.0
43,313.0
44,534.0
45,210.0
46,137.0
47,196.0
48,375.0
49,404.0
50,144.0
51,113.0
52,415.0
53,480.0
54,9.0
55,84.0
56,254.0
57,276.0
58,76.0
59,195.0
60,94.0
61,16.0
62,424.0
63,200.0
64,61.0
65,864.0
66,368.0
67,88.0
68,172.0
69,289.0
70,473.0
71,95.0
72,157.0
73,517.0
74,53.0
75,215.0
76,83.0
77,470.0
78,6.0
79,263.0
80,103.0
81,520.0
82,184.0
83,29.0
84,164.0
85,559.0
86,235.0
87,324.0
88,25.0
89,52.0
90,865.0
91,559.0
92,142.0
93,6.0
94,453.0
95,272.0
96,226.0
97,255.0
98,369.0
99,403.0
