,0
0,271.0
1,48.0
2,20.0
3,5.0
4,35.0
5,38.0
6,3.0
7,11.0
8,7.0
9,59.0
10,116.0
11,63.0
12,281.0
13,38.0
14,58.0
15,20.0
16,224.0
17,67.0
18,35.0
19,21.0
20,43.0
21,7.0
22,15.0
23,39.0
24,17.0
25,29.0
26,103.0
27,5.0
28,154.0
29,15.0
30,74.0
31,7.0
32,55.0
33,31.0
34,109.0
35,17.0
36,37.0
37,49.0
38,17.0
39,7.0
40,78.0
41,22.0
42,105.0
43,36.0
44,6.0
45,131.0
46,81.0
47,8.0
48,116.0
49,4.0
50,12.0
51,11.0
52,153.0
53,66.0
54,18.0
55,17.0
56,248.0
57,68.0
58,31.0
59,4.0
60,35.0
61,14.0
62,23.0
63,63.0
64,77.0
65,38.0
66,12.0
67,21.0
68,9.0
69,6.0
70,41.0
71,281.0
72,127.0
73,11.0
74,22.0
75,56.0
76,169.0
77,79.0
78,2.0
79,10.0
80,4.0
81,35.0
82,110.0
83,49.0
84,265.0
85,86.0
86,170.0
87,78.0
88,17.0
89,143.0
90,69.0
91,7.0
92,56.0
93,80.0
94,16.0
95,271.0
96,110.0
97,34.0
98,77.0
99,66.0
