,0
0,93.0
1,45.0
2,107.0
3,108.0
4,6.0
5,76.0
6,580.0
7,32.0
8,81.0
9,10.0
10,431.0
11,66.0
12,4.0
13,10.0
14,10.0
15,59.0
16,26.0
17,17.0
18,34.0
19,66.0
20,9.0
21,53.0
22,20.0
23,60.0
24,169.0
25,261.0
26,334.0
27,15.0
28,96.0
29,67.0
30,422.0
31,117.0
32,209.0
33,176.0
34,134.0
35,60.0
36,48.0
37,15.0
38,47.0
39,112.0
40,62.0
41,175.0
42,257.0
43,339.0
44,116.0
45,82.0
46,67.0
47,69.0
48,21.0
49,125.0
50,68.0
51,15.0
52,29.0
53,266.0
54,34.0
55,118.0
56,62.0
57,110.0
58,164.0
59,92.0
60,218.0
61,50.0
62,47.0
63,55.0
64,13.0
65,516.0
66,23.0
67,348.0
68,74.0
69,46.0
70,100.0
71,173.0
72,99.0
73,90.0
74,452.0
75,48.0
76,17.0
77,207.0
78,264.0
79,112.0
80,534.0
81,96.0
82,55.0
83,4.0
84,299.0
85,486.0
86,68.0
87,181.0
88,41.0
89,337.0
90,7.0
91,5.0
92,14.0
93,112.0
94,275.0
95,21.0
96,72.0
97,593.0
98,60.0
99,263.0
