,0
0,0.33
1,0.66
2,0.48
3,0.89
4,0.09
5,0.83
6,0.04
7,0.19
8,0.65
9,0.62
10,0.19
11,0.6
12,0.26
13,0.34
14,0.51
15,0.83
16,0.44
17,0.31
18,0.53
19,0.24
20,0.95
21,0.03
22,0.52
23,0.51
24,0.22
25,0.77
26,0.99
27,0.97
28,0.3
29,0.33
30,0.56
31,0.88
32,0.07
33,0.84
34,0.81
35,0.92
36,0.13
37,0.21
38,0.28
39,0.34
40,0.9
41,0.24
42,0.12
43,0.11
44,0.31
45,0.19
46,0.3
47,0.81
48,0.38
49,0.52
50,0.15
51,0.04
52,0.45
53,0.3
54,0.41
55,0.85
56,0.01
57,0.36
58,0.66
59,0.78
60,0.58
61,0.54
62,0.35
63,0.88
64,0.93
65,0.7
66,0.89
67,0.59
68,0.9
69,0.63
70,0.92
71,0.38
72,0.02
73,0.82
74,0.57
75,0.04
76,0.93
77,0.44
78,0.44
79,0.98
80,0.69
81,0.77
82,0.4
83,0.09
84,0.67
85,0.53
86,0.08
87,0.92
88,0.8
89,0.94
90,0.4
91,0.81
92,0.71
93,0.36
94,0.13
95,0.54
96,0.93
97,0.94
98,0.96
99,0.79
